Tarih,Uretilen_Adet,Toplam_Rota_Suresi,Uretim_Net_Kg,Uretim_Brut_Kg,Pik_Adet,Sfr_Adet,Adi_Adet,Tipi_Bos_Adet,Kontrol,Pik_Yuzde,Sfr_Yuzde,Pik_Net_Kg,Sfr_Net_Kg,Adi_Net_Kg,Tipi_Bos_Net_Kg,Kontrol_Kg,Pik_Kg_Yuzde,Sfr_Kg_Yuzde,Enerji_kWh
2024-01-01,426,7814.54,5831.03,5833.67,250,129,28,19,0,0.586854,0.302817,3201.42,2414.41,189.52,25.67,0,0.549032,0.414063,2565.78
2024-01-02,938,19561.56,11590.66,11590.66,422,265,156,95,0,0.449893,0.282516,5130.81,4915.36,1267.84,276.65,0,0.442668,0.424079,5265.99
2024-01-03,904,13309.21,10488.3,10488.3,392,273,213,26,0,0.433628,0.301991,4166.62,4428.81,1878.09,14.78,0,0.397263,0.422262,3935.94
2024-01-04,1032,12385.55,13664.53,13665.2,601,314,83,34,0,0.582364,0.304264,7827.32,5126.01,641.59,69.61,0,0.57282,0.375133,4121.02
2024-01-05,994,12418.39,11002.62,11002.62,551,315,99,29,0,0.554326,0.316901,5344.14,4626.46,991.03,40.99,0,0.485715,0.420487,3981.7
2024-01-06,0,0.0,0.0,1.76,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1678.02
2024-01-07,0,0.0,0.0,2.38,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1487.23
2024-01-08,1071,11264.13,12433.62,12434.1,524,351,135,61,0,0.489262,0.327731,5453.23,5532.31,1346.15,101.94,0,0.438587,0.444947,3897.74
2024-01-09,554,16722.47,5548.48,5550.48,224,118,187,25,0,0.404332,0.212996,2196.62,2006.74,1292.89,52.22,0,0.395896,0.361674,4205.98
2024-01-10,206,15433.92,2630.57,2632.78,86,44,73,3,0,0.417476,0.213592,1074.87,686.19,862.5,7.01,0,0.408609,0.260852,3587.35
2024-01-11,664,15801.13,7661.85,7662.55,332,152,129,51,0,0.5,0.228916,3281.44,2909.23,1361.09,110.08,0,0.428284,0.379704,4488.49
2024-01-12,432,18088.53,4366.92,4366.92,212,89,104,27,0,0.490741,0.206019,2061.2,1301.22,990.69,13.82,0,0.472002,0.297971,4166.16
2024-01-13,0,0.0,0.0,1.91,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1510.0
2024-01-14,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1367.2
2024-01-15,1064,10910.22,12491.72,12491.72,539,291,227,7,0,0.506579,0.273496,6127.05,4540.14,1813.6,10.93,0,0.490489,0.363452,3920.76
2024-01-16,726,14556.84,8866.2,8866.2,378,157,165,26,0,0.520661,0.216253,4776.02,2922.07,1096.66,71.45,0,0.538677,0.329574,3919.0
2024-01-17,500,16097.76,6233.94,6233.94,288,123,85,4,0,0.576,0.246,3333.68,1910.9,987.38,1.98,0,0.534763,0.306532,3869.15
2024-01-18,1316,22558.81,18586.39,18591.0,784,439,74,19,0,0.595745,0.333587,10082.29,7888.82,609.9,5.38,0,0.542455,0.42444,6291.68
2024-01-19,1341,23367.43,16553.45,16553.45,781,299,174,87,0,0.582401,0.222968,10444.16,4538.4,1367.98,202.9,0,0.630936,0.274167,6339.91
2024-01-20,0,0.0,0.0,1.01,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1803.35
2024-01-21,0,0.0,0.0,0.27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1665.91
2024-01-22,763,13303.71,9910.07,9911.54,421,219,83,40,0,0.551769,0.287025,5294.93,4037.02,563.27,14.85,0,0.534298,0.407366,3869.82
2024-01-23,962,14330.48,11965.74,11966.43,587,233,136,6,0,0.610187,0.242204,6912.51,4148.3,902.41,2.53,0,0.577691,0.346681,4722.41
2024-01-24,682,20493.1,9179.91,9179.91,342,216,74,50,0,0.501466,0.316716,4496.32,4056.67,547.29,79.62,0,0.489801,0.441908,5096.65
2024-01-25,182,8190.43,2046.33,2047.35,90,43,33,16,0,0.494505,0.236264,1177.46,629.16,211.18,28.53,0,0.575399,0.307459,2212.58
2024-01-26,1044,9010.5,9345.19,9346.61,455,253,221,115,0,0.435824,0.242337,4143.11,3626.09,1557.57,18.42,0,0.443341,0.388017,3355.81
2024-01-27,0,0.0,0.0,1.06,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1559.57
2024-01-28,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1420.12
2024-01-29,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1926.77
2024-01-30,911,9937.92,11106.27,11109.05,374,233,245,59,0,0.410538,0.255763,4924.57,3334.64,2829.52,17.54,0,0.443404,0.300249,3301.15
2024-01-31,869,13963.01,11456.39,11456.92,470,275,80,44,0,0.540852,0.316456,5438.42,5264.99,702.14,50.83,0,0.474706,0.459568,4214.34
2024-02-01,891,13650.58,10192.72,10194.47,401,227,195,68,0,0.450056,0.25477,4369.83,4111.98,1517.35,193.57,0,0.42872,0.403423,4385.78
2024-02-02,1372,16749.42,17026.59,17026.59,745,439,151,37,0,0.543003,0.319971,7778.38,8081.71,1089.38,77.12,0,0.456837,0.474652,5549.78
2024-02-03,0,0.0,0.0,5.46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1681.54
2024-02-04,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1537.95
2024-02-05,603,9641.66,7193.91,7193.91,319,191,84,9,0,0.529022,0.31675,3275.15,3350.23,551.9,16.64,0,0.455266,0.465703,3212.73
2024-02-06,883,5303.96,11520.93,11522.03,501,282,78,22,0,0.567384,0.319366,6841.75,4150.59,522.8,5.79,0,0.593854,0.360265,2500.79
2024-02-07,1143,11713.44,13159.52,13159.52,683,359,71,30,0,0.59755,0.314086,7220.81,5365.5,488.96,84.25,0,0.548714,0.407727,0.0
2024-02-08,500,20629.01,6693.64,6693.64,285,135,58,22,0,0.57,0.27,3587.81,2660.47,389.23,56.14,0,0.536002,0.397462,9335.43
2024-02-09,816,7353.87,10021.4,10021.4,407,264,103,42,0,0.498775,0.323529,4563.11,4174.25,1185.6,98.44,0,0.455336,0.416534,2741.26
2024-02-10,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1632.69
2024-02-11,0,0.0,0.0,2.11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1574.88
2024-02-12,857,16087.03,9417.53,9417.53,348,202,201,106,0,0.406068,0.235706,3476.88,3931.69,1997.46,11.5,0,0.369192,0.417487,4321.89
2024-02-13,276,12322.56,3670.57,3670.57,161,57,51,7,0,0.583333,0.206522,2070.55,1036.76,562.42,0.84,0,0.564094,0.282451,3250.04
2024-02-14,577,18299.71,7440.63,7442.05,324,132,85,36,0,0.561525,0.228769,4503.93,2332.34,537.8,66.56,0,0.605316,0.31346,4356.98
2024-02-15,574,16488.87,7271.53,7271.53,252,199,95,28,0,0.439024,0.34669,3069.87,3469.46,652.72,79.47,0,0.422177,0.47713,4415.67
2024-02-16,1158,25259.86,11568.38,11568.38,501,319,256,82,0,0.432642,0.275475,4807.64,4722.66,1963.12,74.96,0,0.415585,0.408238,6571.99
2024-02-17,0,0.0,0.0,0.94,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1399.99
2024-02-18,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1176.86
2024-02-19,624,9941.96,7807.87,7809.73,307,169,102,46,0,0.491987,0.270833,3631.46,3077.83,1008.54,90.04,0,0.465102,0.394196,3260.82
2024-02-20,782,15394.3,10368.56,10369.85,374,216,170,22,0,0.478261,0.276215,5088.38,3676.71,1550.68,52.79,0,0.490751,0.354602,4407.31
2024-02-21,904,19750.63,10616.55,10620.64,417,226,174,87,0,0.461283,0.25,5301.51,3183.91,1907.57,223.56,0,0.499363,0.299901,5190.76
2024-02-22,5,10326.55,57.47,57.47,3,1,0,1,0,0.6,0.2,37.31,18.23,0.0,1.92,0,0.649294,0.317251,2562.88
2024-02-23,545,10101.56,7513.29,7517.65,318,189,30,8,0,0.583486,0.346789,4436.61,2806.57,260.68,9.42,0,0.590502,0.373548,3117.45
2024-02-24,0,0.0,0.0,4.69,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1484.88
2024-02-25,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1469.26
2024-02-26,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1664.74
2024-02-27,1170,11959.1,14183.55,14184.16,594,248,227,101,0,0.507692,0.211966,7239.64,4437.93,2274.82,231.16,0,0.510425,0.312893,4112.12
2024-02-28,910,14856.95,12943.19,12943.19,460,286,152,12,0,0.505495,0.314286,6231.97,5011.5,1687.45,12.26,0,0.481487,0.387193,4525.93
2024-02-29,519,11163.5,5528.34,5529.13,246,118,93,62,0,0.473988,0.22736,2765.3,1869.73,891.95,1.36,0,0.500203,0.338209,3147.29
2024-03-01,1234,4517.37,18241.62,18247.61,623,387,214,10,0,0.504862,0.313614,8607.4,7233.82,2396.97,3.42,0,0.471855,0.396556,2792.2
2024-03-02,0,0.0,0.0,0.71,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1840.0
2024-03-03,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1594.83
2024-03-04,218,17445.49,2807.79,2811.61,89,69,47,13,0,0.408257,0.316514,1007.91,1370.86,398.06,30.95,0,0.35897,0.488234,3971.2
2024-03-05,1039,10632.82,12738.38,12738.38,424,265,216,134,0,0.408085,0.255053,5247.65,4844.08,2298.74,347.91,0,0.411956,0.380274,3824.2
2024-03-06,1273,13208.1,13590.12,13590.12,749,255,215,54,0,0.588374,0.200314,6851.88,4184.07,2445.37,108.8,0,0.504181,0.307876,4426.33
2024-03-07,642,13693.37,6640.55,6642.65,340,166,95,41,0,0.529595,0.258567,3378.91,2408.47,764.9,88.27,0,0.50883,0.362692,3924.66
2024-03-08,731,6520.28,9894.53,9899.54,384,255,79,13,0,0.525308,0.348837,4209.35,4970.41,709.54,5.24,0,0.425422,0.502339,2723.89
2024-03-09,0,0.0,0.0,0.96,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1393.57
2024-03-10,0,0.0,0.0,0.53,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1768.25
2024-03-11,204,13118.38,2347.33,2347.33,115,57,22,10,0,0.563725,0.279412,1170.18,909.27,252.0,15.89,0,0.498516,0.387362,3307.75
2024-03-12,332,15678.49,4264.97,4266.85,156,74,96,6,0,0.46988,0.222892,1841.96,1387.64,1027.48,7.89,0,0.431881,0.325357,3876.73
2024-03-13,609,21714.7,7931.82,7934.67,349,138,99,23,0,0.573071,0.226601,4280.35,2723.03,898.56,29.88,0,0.539643,0.343305,5085.5
2024-03-14,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1376.55
2024-03-15,711,14504.12,6918.63,6918.63,333,147,148,83,0,0.468354,0.206751,3097.78,2673.8,1071.83,75.22,0,0.447744,0.386464,4039.96
2024-03-16,0,0.0,0.0,2.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1363.69
2024-03-17,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1512.08
2024-03-18,248,13158.34,2892.25,2896.64,122,78,43,5,0,0.491935,0.314516,1294.72,1205.48,381.8,10.25,0,0.44765,0.416797,3414.34
2024-03-19,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1630.61
2024-03-20,966,19148.28,9957.87,9961.43,415,326,135,90,0,0.429607,0.337474,3799.91,4780.39,1312.32,65.24,0,0.381599,0.480062,4919.71
2024-03-21,0,0.0,0.0,2.79,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1873.57
2024-03-22,653,9760.17,8602.94,8605.51,384,155,109,5,0,0.588055,0.237366,4614.57,3085.72,890.44,12.2,0,0.536395,0.358682,3228.45
2024-03-23,0,0.0,0.0,3.75,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1664.37
2024-03-24,0,0.0,0.0,2.22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1664.64
2024-03-25,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1565.05
2024-03-26,344,15085.02,4105.83,4107.02,191,106,33,14,0,0.555233,0.30814,2286.11,1564.15,226.46,29.11,0,0.556796,0.380959,3574.43
2024-03-27,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1873.56
2024-03-28,783,9761.85,8991.28,8992.45,467,260,44,12,0,0.596424,0.332056,4840.89,3718.81,420.97,10.61,0,0.538399,0.413602,3113.58
2024-03-29,1140,10648.25,14048.4,14048.4,675,271,163,31,0,0.592105,0.237719,7412.06,4895.81,1687.8,52.73,0,0.527609,0.348496,3704.09
2024-03-30,0,0.0,0.0,0.65,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1513.63
2024-03-31,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1595.52
2024-04-01,566,15726.38,7395.45,7396.41,337,146,71,12,0,0.595406,0.257951,4653.21,2200.31,511.0,30.92,0,0.629199,0.297523,3749.9
2024-04-02,789,2142.89,9895.04,9895.04,381,218,169,21,0,0.48289,0.276299,4920.54,3797.47,1120.08,56.95,0,0.497273,0.383775,1737.95
2024-04-03,1404,24927.72,17830.28,17832.83,568,487,261,88,0,0.404558,0.346866,7632.7,7971.11,2065.76,160.71,0,0.428075,0.447055,7075.03
2024-04-04,613,14599.63,6751.45,6751.45,271,157,139,46,0,0.442088,0.256117,2659.69,2842.86,1117.12,131.78,0,0.393944,0.421074,3881.27
